Site,Model,Horizon,RMSE,MAE,R2
UK-AMo,TEMPO Zero-Shot,79,3.14519,1.95629,0.26179
UK-AMo,TEMPO Zero-Shot,80,3.16841,1.9779,0.25084
UK-AMo,TEMPO Zero-Shot,81,3.1643,1.94681,0.25278
UK-AMo,TEMPO Zero-Shot,82,3.1468,1.93351,0.26102
UK-AMo,TEMPO Zero-Shot,83,3.18079,1.96072,0.24496
UK-AMo,TEMPO Zero-Shot,84,3.17387,1.95292,0.24823
UK-AMo,TEMPO Zero-Shot,85,3.15184,1.94015,0.25863
UK-AMo,TEMPO Zero-Shot,86,3.16493,1.9446,0.25245
UK-AMo,TEMPO Zero-Shot,87,3.1737,1.95335,0.2483
UK-AMo,TEMPO Zero-Shot,88,3.18628,1.9844,0.24233
UK-AMo,TEMPO Zero-Shot,89,3.14047,1.92854,0.26396
UK-AMo,TEMPO Zero-Shot,90,3.15269,1.94058,0.25823
UK-AMo,TEMPO Zero-Shot,91,3.14501,1.9242,0.26183
UK-AMo,TEMPO Zero-Shot,92,3.15799,1.97109,0.25573
UK-AMo,TEMPO Zero-Shot,93,3.14232,1.9317,0.2631
UK-AMo,TEMPO Zero-Shot,94,3.19213,1.96612,0.23955
UK-AMo,TEMPO Zero-Shot,95,3.18384,1.96066,0.2435
UK-AMo,TEMPO Zero-Shot,96,3.15954,1.94387,0.255
UK-AMo,TEMPO Fine-Tuned,1,1.27481,0.78778,0.87871
UK-AMo,TEMPO Fine-Tuned,2,1.69676,1.06096,0.78513
UK-AMo,TEMPO Fine-Tuned,3,1.88378,1.16987,0.73515
UK-AMo,TEMPO Fine-Tuned,4,1.96269,1.21519,0.71249
UK-AMo,TEMPO Fine-Tuned,5,1.99916,1.23914,0.7017
UK-AMo,TEMPO Fine-Tuned,6,2.01583,1.24538,0.69671
UK-AMo,TEMPO Fine-Tuned,7,2.01886,1.247,0.6958
UK-AMo,TEMPO Fine-Tuned,8,2.00387,1.23982,0.7003
UK-AMo,TEMPO Fine-Tuned,9,2.0006,1.24695,0.70128
UK-AMo,TEMPO Fine-Tuned,10,1.98887,1.23791,0.70476
UK-AMo,TEMPO Fine-Tuned,11,2.02976,1.26493,0.6925
UK-AMo,TEMPO Fine-Tuned,12,1.99656,1.23448,0.70247
UK-AMo,TEMPO Fine-Tuned,13,2.04442,1.26114,0.68803
UK-AMo,TEMPO Fine-Tuned,14,2.02191,1.23467,0.69486
UK-AMo,TEMPO Fine-Tuned,15,2.00229,1.22312,0.70075
UK-AMo,TEMPO Fine-Tuned,16,1.99768,1.22835,0.70212
UK-AMo,TEMPO Fine-Tuned,17,1.99662,1.22361,0.70244
UK-AMo,TEMPO Fine-Tuned,18,1.99626,1.21881,0.70255
UK-AMo,TEMPO Fine-Tuned,19,1.99968,1.22947,0.70154
UK-AMo,TEMPO Fine-Tuned,20,1.99338,1.23737,0.70342
UK-AMo,TEMPO Fine-Tuned,21,1.99264,1.22638,0.70364
UK-AMo,TEMPO Fine-Tuned,22,1.99885,1.2147,0.70179
