Config,Group,Label,Model,Site,N_train,CI_lo,CI_hi,R2,RMSE,R2_h1,R2_h24,R2_h96,R2_mean
B_loo_3_DEAkm,LOO,LOO: −DE-Akm,LSTM,SE-Htm,5000,0.07791644930839539,0.08980603218078613,0.08301979303359985,6.9665608406066895,0.07923996448516846,0.11707097291946411,0.08735483884811401,0.08303281851112843
B_loo_4_FRLGt,LOO,LOO: −FR-LGt,Random Forest,UK-AMo,5000,0.5582829647619608,0.577998491520777,0.5683224024043252,2.405003495534401,0.7013733559139373,0.6319929196019836,0.47521374007205797,0.5683258538248381
B_loo_4_FRLGt,LOO,LOO: −FR-LGt,Random Forest,SE-Htm,5000,0.41000196324243005,0.41970455631490305,0.41507593462725034,5.564013885809229,0.47494097234360155,0.44916067283921113,0.34892630521998713,0.4153433800901061
B_loo_4_FRLGt,LOO,LOO: −FR-LGt,XGBoost,UK-AMo,5000,0.5393869549036026,0.5567615769803523,0.5478650629520416,2.4613308906555176,0.8072814345359802,0.630085825920105,0.4466671347618103,0.5478692386920253
B_loo_4_FRLGt,LOO,LOO: −FR-LGt,XGBoost,SE-Htm,5000,0.43501313775777817,0.44327258318662643,0.43905287981033325,5.448781967163086,0.5279127657413483,0.4886130690574646,0.37244713306427,0.43936216707030934
B_loo_4_FRLGt,LOO,LOO: −FR-LGt,LSTM,UK-AMo,5000,0.47615810930728913,0.49760681837797166,0.4872305393218994,2.6211812496185303,0.6182135045528412,0.540673017501831,0.3998487591743469,0.4872335422163208
B_loo_4_FRLGt,LOO,LOO: −FR-LGt,LSTM,SE-Htm,5000,0.30349037498235704,0.3162070855498314,0.3090302348136902,6.047389984130859,0.359289288520813,0.31979960203170776,0.2788531184196472,0.3091420854131381
TEMPO_ref,TEMPO,TEMPO Fine-Tuned,TEMPO Fine-Tuned,UK-AMo,23899,0.5896316483616829,0.6086487300693989,0.5988449454307556,2.318419933319092,0.8787111565470695,0.6831454038619995,0.48137104511260986,0.598849056676651
TEMPO_ref,TEMPO,TEMPO Zero-Shot,TEMPO Zero-Shot,UK-AMo,23899,0.37125339508056643,0.3944713816046715,0.3835750222206116,2.873929262161255,0.8135499507188797,0.5576398968696594,0.2550041079521179,0.3835807711196442
TEMPO_ref,TEMPO,TEMPO Fine-Tuned,TEMPO Fine-Tuned,SE-Htm,23899,0.7248824968934059,0.7310905776917934,0.7281095683574677,3.793459177017212,0.8864277452230453,0.7477733790874481,0.6813255548477173,0.72837857172514
TEMPO_ref,TEMPO,TEMPO Zero-Shot,TEMPO Zero-Shot,SE-Htm,23899,0.7492837496101856,0.7549360737204551,0.7520711719989777,3.6224465370178223,0.8622902780771255,0.7631720006465912,0.7422035038471222,0.7521775459560255
